Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:60436195


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
60436195;1;16/05/2009;31/08/2009;"100,0";"31,0";1;01/09;1;"3,538";"0,309";"1,411";;;;;"5,0";
60436195;1;16/05/2009;31/10/2010;"300,0";"27,0";1;01/09;1;"5,141";"0,27";"1,963";;;;;"5,0";
60436195;1;16/05/2009;31/08/2010;"300,0";"27,0";1;01/09;1;"5,141";"0,266";"1,963";;;;;"5,0";
60436195;1;16/05/2009;31/07/2011;"300,0";"27,0";1;01/09;1;"5,141";"0,27";"1,963";;;;;"5,0";
60436195;1;16/05/2009;31/12/2010;"300,0";"27,0";1;01/09;1;"5,141";"0,27";"1,963";;;;;"5,0";
60436195;1;01/01/2011;30/11/2011;"300,0";"27,0";1;02/9;1;"4,509";"0,201";"1,939";;;;;"5,0";
60436195;1;01/01/2011;31/12/2011;"300,0";"27,0";1;02/ 9;1;"4,509";"0,2";"1,939";;;;;"5,0";
60436195;1;01/01/2011;31/12/2016;"300,0";"27,0";1;02/ 9;1;"4,509";"0,2";"1,939";;;;;"5,0";
60436195;1;22/09/2012;31/03/2017;"100,0";"24,0";1;01/09;1;"5,1559";"0,2";"1,721";;;;;"5,0";
60436195;1;01/01/2011;31/03/2017;"100,0";"23,0";1;02/ 9;1;"4,7387";"0,2306";"2,0696";;;;;"5,0";
60436195;1;01/01/2011;31/03/2018;"100,0";"23,0";1;02/ 9;1;"4,7387";"0,23";"2,07";;;;;"5,0";
60436195;1;22/09/2012;31/03/2018;"100,0";"10,0";1;01/09;1;"5,1559";"0,2";"1,721";;;;;"5,0";
60436195;1;01/01/2011;28/02/2013;"300,0";"22,0";1;02/;1;"4,536";"0,213";"1,854";;;;;"1,0";
60436195;1;01/09/2009;31/12/2010;"300,0";"27,0";1;01/;1;"5,141";"0,266";"1,963";;;;;"1,0";
