Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:60436195


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
60436195;1;25/10/2022;01/01/1900 11:45;513;"22,0";"0,0559";"0,406";"2,65";"0,1379";"0,153";"Thales,";10
60436195;1;15/08/2022;01/01/1900 14:00;512;"24,0";"0,0677";"0,498";"2,85";"0,1359";"0,175";"Sintia,";10
60436195;1;14/06/2022;01/01/1900 14:31;511;"27,0";"0,1433";"0,663";"4,65";"0,216";"0,143";Sintia;10
60436195;1;17/02/2022;01/01/1900 15:17;510;"86,0";"2,626";"2,695";"4,45";"0,9746";"0,606";"Thales,";10
60436195;1;26/11/2021;01/01/1900 09:25;509;"34,0";"0,2388";"1,195";"4,2";"0,199";"0,284";"Sintia de Assis,";10
60436195;1;28/09/2021;01/01/1900 09:12;508;"26,0";"0,0628";"0,482";"2,86";"0,1303";"0,169";"Sintia/Thales,";10
60436195;1;11/08/2021;01/01/1900 15:10;507;"29,0";"0,1089";"0,489";"3,34";"0,2226";"0,146";Elessandro;10
60436195;1;20/01/2020;01/01/1900 08:53;506;"31,0";"0,4026";"1,237";"4,4";"0,3255";"0,281";"Sintia/Thales,";10
60436195;1;12/12/2019;01/01/1900 11:25;505;"30,0";"0,4189";"1,05";"3,55";"0,3989";"0,296";"Tomas/Sena,";10
60436195;1;12/11/2019;01/01/1900 09:32;504;"18,0";"0,1292";"0,598";"2,4";"0,2162";"0,249";"Sintia/Suzana,";10
60436195;1;17/10/2019;01/01/1900 09:49;503;"13,0";"0,0601";"0,413";"2,95";"0,1454";"0,14";"Sintia/Sena,";10
60436195;1;24/09/2019;01/01/1900 16:29;502;"14,0";"0,0656";"0,515";"2,45";"0,1276";"0,21";"Sintia/Pedro,";10
60436195;1;08/04/2019;01/01/1900 09:07;501;"63,0";"1,49";"2,03";"4,8";"0,734";"0,42";"Sintia/Thales,";10
60436195;1;08/04/2019;01/01/1900 09:07;502;"63,0";"1,49";"2,03";"4,8";"0,734";"0,42";"Sintia/Thales,";10
60436195;1;08/03/2019;01/01/1900 12:09;501;"54,0";"0,9554";"1,637";"4,75";"0,5838";"0,345";"Sintia e Thales,";10
60436195;1;08/03/2019;01/01/1900 12:09;500;"54,0";"0,955";"1,64";"4,75";"0,584";"0,34";"Sintia e Thales,";10
60436195;1;29/03/2018;01/01/1900 16:05;16;"46,0";"0,5103";"0,884";"3,6";"0,5772";"0,2456";null;0
60436195;1;13/01/2018;01/01/1900 16:10;15;"32,0";"0,2709";"0,5405";"3,1";"0,5013";"0,1744";null;0
60436195;1;23/11/2017;01/01/1900 12:06;14;"24,0";"0,0933";"0,2665";"2,7";"0,3502";"0,0987";null;0
60436195;1;18/09/2017;01/01/1900 16:10;13;"21,0";"0,0305";"0,236";"2,9";"0,129";"0,0814";null;0
60436195;1;02/03/2017;01/01/1900 14:00;10;"40,0";"0,9389";"1,46";"4,0";"0,6431";"0,365";null;0
60436195;1;06/01/2017;01/01/1900 14:01;8;"35,0";"0,2163";"0,5465";"3,4";"0,3958";"0,1607";;
