Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:60436195


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
60436195;1;01/03/2018;;1;1;;;;;;0;0;0;"0,0";0;"0,1247";"0,1439";"0,1439";"0,2958";"0,2201";"0,2958";"0,4744";"0,3231";"0,2958";"0,4909";"0,6308";"0,687";"0,7256";"0,8465";"0,668";"1,564";"0,7851";"1,2551";"1,2551";"1,1115";"0,9533";"0,8886";"0,9974";"1,0883";"1,1349";"0,9533";"0,9752";"1,0198";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
60436195;1;01/02/2018;;1;1;"1,4318";"0,1247";"0,4275";4;26;1;1;1;"0,0";0;"0,6493";"0,411";"0,5416";"1,4318";"1,3046";"0,7452";"0,9315";"0,4422";"0,7452";"0,765";"0,668";"0,2568";"0,2443";"0,2695";"0,2695";"0,2201";"0,2201";"0,1749";"0,1858";"0,1858";"0,1858";"0,1858";"0,1858";"0,1643";"0,1643";"0,1247";"0,1643";"0,1341";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
60436195;1;01/01/2018;;1;1;"1,2551";"0,0668";"0,3422";8;22;1;1;1;"0,0";0;"0,3231";"0,3807";"0,2826";"0,4422";"0,4422";"0,2958";"0,3807";"1,2551";"0,8053";"0,3372";"0,2321";"0,2084";"0,2084";"0,2695";"0,1858";"0,1643";"0,1858";"0,1439";"0,1066";"0,098";"0,098";"0,0668";"0,0741";"0,0741";"0,1341";"0,2443";"0,2443";"0,8053";"0,5766";"1,2064";"0,3372";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/12/2017;;1;1;;;;;;0;0;0;"0,0";0;"0,1643";"0,1066";"0,0597";"0,0597";"0,0741";"0,0741";"0,0741";"0,0741";"0,0668";"0,0741";"0,0741";"0,8053";"0,8053";"1,0198";"1,3297";"1,2551";"0,3372";"0,2443";"0,1749";"0,1643";"0,0248";"0,1858";"0,3514";"0,2695";"0,2958";"0,1066";"0,1439";"0,1066";"0,0818";"0,3094";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/11/2017;;1;1;"2,6549";"0,0";"0,2606";27;1;1;1;1;"0,0";0;"0,0";"0,0";"0,0";"0,1858";"0,0061";"0,009";"0,197";"1,0198";"0,7452";"0,1439";"0,098";"0,154";"0,1066";"0,0407";"0,0297";"0,411";"0,1643";"0,2321";"0,2443";"0,2568";"0,0407";"0,098";"0,0297";"0,009";"0,009";"0,5766";"2,6549";"0,1341";"0,1155";"0,1066";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/10/2017;;1;1;"0,0531";"0,0";"0,0045";3;9;1;1;1;"0,0";0;"0,0248";"0,0161";"0,0531";"0,0161";"0,009";"0,009";"6,0E-4";"6,0E-4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"0,0037";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60436195;1;01/09/2017;;1;1;"0,009";"6,0E-4";"0,0014";29;1;1;1;1;"0,0";0;"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"0,0019";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"6,0E-4";"0,0037";"0,0061";"0,009";"0,0061";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
60436195;1;01/08/2017;;1;1;"0,0061";"0,0019";"0,0026";1;6;1;1;1;"0,0";0;"0,0061";"0,0061";"0,0061";"0,0061";"0,0061";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";"0,0019";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/03/2017;;1;1;"3,5117";"0,1155";"0,3086";3;8;0;0;1;;0;"0,4582";"0,366";"1,701";"0,3514";"0,2201";"0,1643";"0,1643";"0,1155";"0,1155";"0,1155";"0,1155";"0,1155";"0,1155";"0,1749";"0,1858";"0,154";"0,1643";"0,1643";"0,1749";"0,2321";"0,2958";"0,2958";"0,2084";"0,197";"0,1247";"0,1155";"0,1155";"0,1341";"1,2798";"1,0198";"0,411";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
60436195;1;01/02/2017;;1;1;;;;;;0;0;0;;0;"0,1858";"0,1749";"0,1749";"0,2084";"0,411";"0,9315";"1,3046";"1,4579";"0,6125";"0,9315";"0,8053";"0,9752";"0,5075";"0,3514";"0,3231";"0,2695";"0,2201";"0,1749";"0,1749";"0,1749";"0,1749";"0,1749";"0,1643";"0,1643";"0,2084";"0,2695";"0,3807";;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
